STN,YYYYMMDD,FHX,FHN,FXX
319,20150617,60,0,110
319,20150618,70,10,100
319,20150619,70,10,110
319,20150620,40,10,70
319,20150621,70,10,120
319,20150622,60,30,100
319,20150623,70,20,120
319,20150624,50,10,90
319,20150625,40,0,100
319,20150626,60,0,100
319,20150627,60,10,80
319,20150628,40,0,80
319,20150629,50,0,90
319,20150630,30,0,70
319,20150701,40,10,90
319,20150702,50,10,140
319,20150703,50,10,80
319,20150704,60,10,100
319,20150705,80,0,140
319,20150706,60,0,100
319,20150707,80,0,140
319,20150708,90,40,160
319,20150709,60,10,100
319,20150710,30,10,70
319,20150711,70,10,110
319,20150712,70,30,130
319,20150713,70,40,130
319,20150714,60,20,100
319,20150715,50,10,90
319,20150716,50,0,90
319,20150717,90,30,150
319,20150718,50,10,100
319,20150719,60,10,110
319,20150720,70,10,110
319,20150721,60,20,110
319,20150722,60,30,100
319,20150723,40,0,80
319,20150724,50,0,80
319,20150725,100,20,170
319,20150726,70,20,110
319,20150727,110,60,170
319,20150728,90,50,150
319,20150729,90,20,130
319,20150730,40,0,90
319,20150731,40,0,70
319,20150801,40,0,80
319,20150802,30,10,80
319,20150803,50,10,90
319,20150804,70,10,120
319,20150805,40,10,80
319,20150806,60,10,100
319,20150807,50,0,80
319,20150808,50,10,100
319,20150809,20,0,50
319,20150810,50,0,80
319,20150811,50,10,80
319,20150812,70,30,100
319,20150813,80,10,150
319,20150814,50,10,90
319,20150815,60,10,90
319,20150816,60,10,90
319,20150817,50,10,100
319,20150818,60,30,110
319,20150819,50,10,90
319,20150820,40,10,70
319,20150821,30,10,70
319,20150822,40,10,80
319,20150823,70,10,130
319,20150824,70,10,130
319,20150825,80,40,130
319,20150826,90,20,180
319,20150827,70,30,110
319,20150828,40,10,80
319,20150829,40,10,60
319,20150830,50,10,140
319,20150831,50,10,130
319,20150901,70,20,110
319,20150902,40,0,90
319,20150903,50,10,100
319,20150904,60,40,110
319,20150905,70,20,130
319,20150906,70,20,110
319,20150907,60,20,90
319,20150908,40,10,60
319,20150909,60,20,100
319,20150910,50,30,90
319,20150911,40,10,60
319,20150912,50,10,90
319,20150913,50,10,120
319,20150914,80,10,160
319,20150915,100,20,190
319,20150916,80,20,150
319,20150917,90,20,160
319,20150918,70,20,110
319,20150919,60,10,100
319,20150920,30,0,60
319,20150921,60,20,110
319,20150922,70,10,120
319,20150923,70,30,130
319,20150924,70,30,110
319,20150925,50,10,80
319,20150926,50,0,90
319,20150927,60,20,100
319,20150928,60,20,100
319,20150929,70,30,110
319,20150930,70,20,110
319,20151001,70,20,110
319,20151002,40,10,60
319,20151003,40,0,60
319,20151004,40,0,70
319,20151005,40,20,70
319,20151006,40,10,100
319,20151007,70,30,110
319,20151008,40,10,60
319,20151009,20,10,30
319,20151010,50,10,80
319,20151011,50,30,80
319,20151012,30,0,50
319,20151013,80,0,130
319,20151014,60,10,120
319,20151015,50,10,70
319,20151016,20,0,40
319,20151017,20,10,40
319,20151018,30,0,50
319,20151019,30,0,50
319,20151020,60,10,90
319,20151021,60,10,110
319,20151022,60,20,100
319,20151023,30,10,60
319,20151024,30,10,60
319,20151025,40,10,70
319,20151026,40,20,70
319,20151027,30,20,60
319,20151028,30,10,60
319,20151029,50,10,80
319,20151030,30,10,60
319,20151031,30,10,60
319,20151101,20,0,50
319,20151102,30,0,60
319,20151103,20,10,50
319,20151104,70,20,120
319,20151105,70,20,120
319,20151106,70,50,120
319,20151107,90,30,170
319,20151108,80,20,130
319,20151109,100,60,160
319,20151110,90,60,140
319,20151111,80,50,120
319,20151112,60,20,100
319,20151113,90,50,190
319,20151114,110,50,170
319,20151115,140,60,220
319,20151116,90,60,150
319,20151117,160,70,250
319,20151118,150,50,240
319,20151119,110,10,160
319,20151120,70,30,110
319,20151121,100,10,190
319,20151122,50,10,100
319,20151123,60,10,90
319,20151124,100,40,160
319,20151125,80,30,130
319,20151126,30,10,60
319,20151127,80,20,130
319,20151128,110,40,180
319,20151129,150,70,230
319,20151130,130,30,200
319,20151201,80,10,150
319,20151202,70,50,120
319,20151203,80,40,120
319,20151204,100,30,160
319,20151205,100,70,160
319,20151206,100,50,170
319,20151207,50,10,70
319,20151208,60,20,100
319,20151209,70,40,110
319,20151210,90,60,140
319,20151211,90,40,150
319,20151212,100,20,150
319,20151213,100,10,150
319,20151214,40,10,80
319,20151215,40,10,70
319,20151216,70,30,110
319,20151217,70,40,120
319,20151218,70,30,110
319,20151219,60,30,110
319,20151220,70,40,130
319,20151221,120,60,210
319,20151222,120,60,190
319,20151223,110,30,180
319,20151224,100,40,180
319,20151225,100,30,160
319,20151226,100,60,160
319,20151227,90,20,140
319,20151228,40,20,70
319,20151229,50,20,100
319,20151230,60,40,130
319,20151231,80,30,130
