countryName,countryCode,GHGT,METH,CO2E,GHGO,NOXE
Tajikistan,TJK,21668.05999,4299.13,..,2810.00459,1504.2254
Tanzania,TZA,94958.046,26890.9,2266.206,44824,21142.496
Thailand,THA,208062.848,84983,90805.921,13907.98,18405.568
Timor-Leste,TMP,453.01726,340.472,..,4.26E-14,111.54017
Togo,TGO,13410.2559,3089.46,773.737,7363.26,2179.6999
Tonga,TON,124.449085,56.5439,77.007,4,19.295485
Trinidad and Tobago,TTO,15412.5892,3037.59,16959.875,4,579.7992
Tunisia,TUN,21219.0337,4059.03,13267.206,3.5,2325.7037
Turkey,TUR,224459.0446,43852.1,145858.592,2900.5486,28579.396
Turkmenistan,TKM,81331.86526,29864.5,..,315.14686,2285.5184
Turks and Caicos Islands,TCA,2.39359482,2.30468,..,2.78E-16,0.08891482
Tuvalu,TUV,4.0320927,2.67939,..,-5.55E-16,0.8665027
Uganda,UGA,36900.522,12246.2,759.069,16000,7998.961
Ukraine,UKR,953118.7193,122321,..,8437.0593,53470.66
United Arab Emirates,ARE,72498.5763,13606,52009.061,846,1052.6763
United Kingdom,GBR,777244.23,117496,555924.534,14708.8,56746.43
United States,USA,6136093.5,637636,4823557.132,176765.6,331851.9
Uruguay,URY,26111.56991,15752.1,3993.363,404.00491,6055.075
Uzbekistan,UZB,169357.5032,32945.6,..,1094.7852,11184.118
Vanuatu,VUT,433.35203,213.989,66.006,-2.84E-14,95.42203
"Venezuela, RB",VEN,210102.629,44121.9,122162.438,42735.4,12541.329
Vietnam,VNM,99053.923,60473.8,21407.946,5738.097,11614.026
Virgin Islands (U.S.),VIR,45.298507,33.803,..,3.55E-15,9.230777
West Bank and Gaza,WBG,..,..,..,..,..
"Yemen, Rep.",YEM,12850.0134,3912.18,9596.539,3,2069.6034
Zambia,ZMB,209648.8201,29119.3,2445.889,142550.5001,35019.77
Zimbabwe,ZWE,35100.59,10256.1,15504.076,800,6903.39
,,,,,,
,,,,,,
