countryName,countryCode,GHGT,METH,NOXE,CO2E,GHGO
Thailand,THA,440411.679,106499.22,30832.94658,305222.745,45556.3
Timor-Leste,TMP,959.3474036,732.07236,225.5413494,293.36,-1.71E-13
Togo,TGO,22931.85549,5342.6682,3048.651786,2163.53,11586
Tonga,TON,158.3607977,61.449186,22.1583474,179.683,1.10E-13
Trinidad and Tobago,TTO,61308.52535,14788.572,281.3904906,45371.791,261
Tunisia,TUN,39721.00885,7647.1848,2962.607442,27003.788,18.7391
Turkey,TUR,445640.0784,78852.936,35611.7088,329560.624,8334.87
Turkmenistan,TKM,92178.07491,22008.5695,4923.871936,64993.908,595.162
Turks and Caicos Islands,TCA,19.1849645,6.1254978,0.665275314,198.018,-1.22E-15
Tuvalu,TUV,5.239916769,3.3655614,1.255510044,..,2.89E-15
Uganda,UGA,80725.08492,21160.818,14931.72288,4085.038,42896.4
Ukraine,UKR,404900.3049,68060.93652,22549.44469,295772.886,1940.088
United Arab Emirates,ARE,204888.719,26119.548,2412.98544,172356.334,1425
United Kingdom,GBR,585779.7833,58980.03122,25334.91682,467197.802,14312
United States,USA,6343840.508,499809.345,288877.995,5115806.031,389292.1
Uruguay,URY,34237.82952,19548.606,8105.37594,8694.457,175.1028
Uzbekistan,UZB,177223.751,47333.36345,13191.52504,115814.861,989.45307
Vanuatu,VUT,446.2205969,254.15952,108.6627624,113.677,-2.13E-13
"Venezuela, RB",VEN,281921.3686,58198.854,16136.12868,198641.39,24604.8
Vietnam,VNM,310664.0693,113563.74,34494.258,158231.05,25707.3
Virgin Islands (U.S.),VIR,61.49277573,47.146644,12.66194442,..,4.80E-14
West Bank and Gaza,WBG,..,..,..,2200.2,..
"Yemen, Rep.",YEM,40924.62769,8939.9226,3671.96736,18290.996,16
Zambia,ZMB,320254.2183,6551.3784,8394.50922,3479.983,302551.63
Zimbabwe,ZWE,72057.80332,8588.91,4270.81854,12933.509,46915.6
